vadura2701,AMRAVATI-CHANDUR BAZZAR-GP-vadura
varna2701,AMRAVATI-CHANDUR BAZZAR-GP-varna
velamandli2701,AMRAVATI-CHANDUR BAZZAR-GP-velamandli
virul.purna2701,AMRAVATI-CHANDUR BAZZAR-GP-virul purna
vishroli2701,AMRAVATI-CHANDUR BAZZAR-GP-vishroli
wathonda2701,AMRAVATI-CHANDUR BAZZAR-GP-wathonda
aawadgad2701,AMRAVATI-CHANDUR BAZZAR-GP-aawadgad
adandi2701,AMRAVATI-CHIKALDARA-GP-adandi
adhav2701,AMRAVATI-CHIKALDARA-GP-adhav
amazari2701,AMRAVATI-CHIKALDARA-GP-amazari
ambapati2701,AMRAVATI-CHIKALDARA-GP-ambapati
badanapur2701,AMRAVATI-CHIKALDARA-GP-badanapur
bagalinga2701,AMRAVATI-CHIKALDARA-GP-bagalinga
bamadehi2701,AMRAVATI-CHIKALDARA-GP-bamadehi
barugavhan2701,AMRAVATI-CHIKALDARA-GP-barugavhan
bhulori2701,AMRAVATI-CHIKALDARA-GP-bhulori
biba2701,AMRAVATI-CHIKALDARA-GP-biba
borala2701,AMRAVATI-CHIKALDARA-GP-borala
chikhali2701,AMRAVATI-CHIKALDARA-GP-chikhali
chinchkheda2701,AMRAVATI-CHIKALDARA-GP-chinchkheda
churani2701,AMRAVATI-CHIKALDARA-GP-churani
dahandri2701,AMRAVATI-CHIKALDARA-GP-dahandri
dharmadoh2701,AMRAVATI-CHIKALDARA-GP-dharmadoh
doma2701,AMRAVATI-CHIKALDARA-GP-doma
ekatai2701,AMRAVATI-CHIKALDARA-GP-ekatai
gadgabhandum2701,AMRAVATI-CHIKALDARA-GP-gadgabhandum
gagrakheda2701,AMRAVATI-CHIKALDARA-GP-gagrakheda
gailakheda2701,AMRAVATI-CHIKALDARA-GP-gailakheda
hatru2701,AMRAVATI-CHIKALDARA-GP-hatru
jamlir2701,AMRAVATI-CHIKALDARA-GP-jamlir
jamlivan2701,AMRAVATI-CHIKALDARA-GP-jamlivan
kajladoh2701,AMRAVATI-CHIKALDARA-GP-kajladoh
kakadari2701,AMRAVATI-CHIKALDARA-GP-kakadari
katkunbh2701,AMRAVATI-CHIKALDARA-GP-katkunbh
kelpani2701,AMRAVATI-CHIKALDARA-GP-kelpani
khadimal2701,AMRAVATI-CHIKALDARA-GP-khadimal
khatkali2701,AMRAVATI-CHIKALDARA-GP-khatkali
khirapani2701,AMRAVATI-CHIKALDARA-GP-khirapani
kohana2701,AMRAVATI-CHIKALDARA-GP-kohana
korada2701,AMRAVATI-CHIKALDARA-GP-korada
koyalari2701,AMRAVATI-CHIKALDARA-GP-koyalari
kulagna2701,AMRAVATI-CHIKALDARA-GP-kulagna
makhla2701,AMRAVATI-CHIKALDARA-GP-makhla
mehriam2701,AMRAVATI-CHIKALDARA-GP-mehriam
moragad2701,AMRAVATI-CHIKALDARA-GP-moragad
moth2701,AMRAVATI-CHIKALDARA-GP-moth
rahu2701,AMRAVATI-CHIKALDARA-GP-rahu
rayapur2701,AMRAVATI-CHIKALDARA-GP-rayapur
ruipathar2701,AMRAVATI-CHIKALDARA-GP-ruipathar
salona2701,AMRAVATI-CHIKALDARA-GP-salona
semadoh2701,AMRAVATI-CHIKALDARA-GP-semadoh
shahapur2701,AMRAVATI-CHIKALDARA-GP-shahapur
somathana2701,AMRAVATI-CHIKALDARA-GP-somathana
somawakheda2701,AMRAVATI-CHIKALDARA-GP-somawakheda
sonapur2701,AMRAVATI-CHIKALDARA-GP-sonapur
tarubanda2701,AMRAVATI-CHIKALDARA-GP-tarubanda
telakhar2701,AMRAVATI-CHIKALDARA-GP-telakhar
tenbusoda2701,AMRAVATI-CHIKALDARA-GP-tenbusoda
wastapur2701,AMRAVATI-CHIKALDARA-GP-wastapur
adulabazar2701,AMRAVATI-DARYAPUR-GP-adulabazar
amla2701,AMRAVATI-DARYAPUR-GP-amla
arala2701,AMRAVATI-DARYAPUR-GP-arala
bellora2701,AMRAVATI-DARYAPUR-GP-bellora
bemblabk2701,AMRAVATI-DARYAPUR-GP-bemblabk
bhamod2701,AMRAVATI-DARYAPUR-GP-bhamod
borala2701,AMRAVATI-DARYAPUR-GP-borala
chandikapur2701,AMRAVATI-DARYAPUR-GP-chandikapur
chandola2701,AMRAVATI-DARYAPUR-GP-chandola
chandrapur2701,AMRAVATI-DARYAPUR-GP-chandrapur
darapur2701,AMRAVATI-DARYAPUR-GP-darapur
dhamodi2701,AMRAVATI-DARYAPUR-GP-dhamodi
dongargaon2701,AMRAVATI-DARYAPUR-GP-dongargaon
erandgaon2701,AMRAVATI-DARYAPUR-GP-erandgaon
gaurkheda2701,AMRAVATI-DARYAPUR-GP-gaurkheda
gaywadi2701,AMRAVATI-DARYAPUR-GP-gaywadi
ghada2701,AMRAVATI-DARYAPUR-GP-ghada
ghodchandi2701,AMRAVATI-DARYAPUR-GP-ghodchandi
golegaon2701,AMRAVATI-DARYAPUR-GP-golegaon
hingni.mirzapur2701,AMRAVATI-DARYAPUR-GP-hingni mirzapur
itki2701,AMRAVATI-DARYAPUR-GP-itki
jainpur2701,AMRAVATI-DARYAPUR-GP-jainpur
jasapur2701,AMRAVATI-DARYAPUR-GP-jasapur
kalamgavhan2701,AMRAVATI-DARYAPUR-GP-kalamgavhan
kalashi2701,AMRAVATI-DARYAPUR-GP-kalashi
kanholi2701,AMRAVATI-DARYAPUR-GP-kanholi
karatkheda2701,AMRAVATI-DARYAPUR-GP-karatkheda
khairi2701,AMRAVATI-DARYAPUR-GP-khairi
khallar2701,AMRAVATI-DARYAPUR-GP-khallar
kolambi2701,AMRAVATI-DARYAPUR-GP-kolambi
lasur2701,AMRAVATI-DARYAPUR-GP-lasur
lehgaon2701,AMRAVATI-DARYAPUR-GP-lehgaon
lotwada2701,AMRAVATI-DARYAPUR-GP-lotwada
mahimapur2701,AMRAVATI-DARYAPUR-GP-mahimapur
mahuli.dhande2701,AMRAVATI-DARYAPUR-GP-mahuli dhande
markanda2701,AMRAVATI-DARYAPUR-GP-markanda
matargaon2701,AMRAVATI-DARYAPUR-GP-matargaon
mhaispur.mocharda2701,AMRAVATI-DARYAPUR-GP-mhaispur mocharda
nachona2701,AMRAVATI-DARYAPUR-GP-nachona
naigaon2701,AMRAVATI-DARYAPUR-GP-naigaon
nalwada2701,AMRAVATI-DARYAPUR-GP-nalwada
nandedbk2701,AMRAVATI-DARYAPUR-GP-nandedbk
nandrun2701,AMRAVATI-DARYAPUR-GP-nandrun
nardoda2701,AMRAVATI-DARYAPUR-GP-nardoda
narsingpur2701,AMRAVATI-DARYAPUR-GP-narsingpur
panora2701,AMRAVATI-DARYAPUR-GP-panora
peth.itbarpur2701,AMRAVATI-DARYAPUR-GP-peth itbarpur
pimpalkhuta2701,AMRAVATI-DARYAPUR-GP-pimpalkhuta
pimplod2701,AMRAVATI-DARYAPUR-GP-pimplod
ramgaon2701,AMRAVATI-DARYAPUR-GP-ramgaon
ramtirth2701,AMRAVATI-DARYAPUR-GP-ramtirth
rustampur2701,AMRAVATI-DARYAPUR-GP-rustampur
samda2701,AMRAVATI-DARYAPUR-GP-samda
sanglud2701,AMRAVATI-DARYAPUR-GP-sanglud
sasanbk2701,AMRAVATI-DARYAPUR-GP-sasanbk
sasanramapur2701,AMRAVATI-DARYAPUR-GP-sasanramapur
sawangabk2701,AMRAVATI-DARYAPUR-GP-sawangabk
shinganwadi2701,AMRAVATI-DARYAPUR-GP-shinganwadi
shingnapur2701,AMRAVATI-DARYAPUR-GP-shingnapur
shirajda2701,AMRAVATI-DARYAPUR-GP-shirajda
shivarbk2701,AMRAVATI-DARYAPUR-GP-shivarbk
sukli2701,AMRAVATI-DARYAPUR-GP-sukli
takli2701,AMRAVATI-DARYAPUR-GP-takli
telkheda2701,AMRAVATI-DARYAPUR-GP-telkheda
thilori2701,AMRAVATI-DARYAPUR-GP-thilori
tonglabad2701,AMRAVATI-DARYAPUR-GP-tonglabad
umbri.itbadpur2701,AMRAVATI-DARYAPUR-GP-umbri itbadpur
umri.mamdabad2701,AMRAVATI-DARYAPUR-GP-umri mamdabad
uprai2701,AMRAVATI-DARYAPUR-GP-uprai
